video_id,title,publish_time,views,likes,comments,like_to_view_ratio,year
ho2vzKPAD50,Live Data Analyst Q&A #3,2020-08-29 14:37:52+00:00,3079,100,43,0.0324780772978239,2020
5MZo2RoS8Yo,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,2020-08-20 13:46:16+00:00,131504,4654,270,0.0353905584621,2020
M2ySRYpo9S0,Top 5 Reasons Not to Become a Data Analyst,2020-08-12 14:52:19+00:00,926874,19758,1049,0.0213168132885376,2020
ncXgqGePvwI,Data Analyst Bootcamps | Are They Worth It?,2020-08-05 13:14:01+00:00,35184,581,93,0.0165131878126421,2020
ywZXpfdqg1o,What Does a Data Analyst Actually Do?,2020-07-29 13:48:00+00:00,1031012,19911,505,0.019312093360698,2020
IqQCBytyATo,Data Analyst Question and Answer | Answering Your YouTube Questions,2020-07-22 14:35:55+00:00,4907,179,67,0.0364785001018952,2020
MpIi4HtCiVk,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,2020-07-15 14:00:20+00:00,55381,1391,158,0.0251169173543272,2020
G4syHs3M82E,Data Analyst vs Business Analyst | Which Is Right For You?,2020-07-03 14:17:52+00:00,788222,19794,587,0.0251122145791414,2020
appOFpF2pFg,Best Free Online Courses for Data Analysts,2020-06-23 13:55:50+00:00,57997,2760,95,0.0475886683793989,2020
B2SPC3Wz1R8,Best Online Courses for Data Analysts,2020-06-17 14:57:22+00:00,187668,9551,426,0.0508930664791013,2020
fUpChfNN5Uo,Data Scientist vs Data Analyst | Which Is Right For You?,2020-06-10 15:49:15+00:00,795434,24402,861,0.0306775923583854,2020
Dk7he_yEs4U,Intermediate SQL Tutorial | Aliasing,2020-06-04 14:00:10+00:00,154992,4093,105,0.0264078145968824,2020
LJtFgnHGAos,Data Analyst Q&A LIVE,2020-05-31 13:54:38+00:00,11887,270,54,0.0227138891225708,2020
ziurEoqEcO4,Data Analyst Interviews | Salary Negotiation,2020-05-27 15:13:50+00:00,27599,859,27,0.0311243160984093,2020
rLKC--8UYSw,Data Analyst Interview Questions | What To Say vs What NOT To Say,2020-05-20 14:03:02+00:00,78438,1874,36,0.0238914811698411,2020
sua7xKN0cPc,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,2020-05-13 15:00:26+00:00,134598,3434,112,0.0255130091086048,2020
fweZQqB0nwQ,Data Analyst Interview Questions | Phone + In-Person Interview Questions,2020-05-06 15:20:18+00:00,85856,1693,62,0.0197190644800596,2020
oXAwKZWfbW0,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),2020-04-23 13:08:33+00:00,15424,521,52,0.0337785269709543,2020
bhnrIforc7s,Intermediate SQL Tutorial | Updating/Deleting Data,2020-04-16 12:58:52+00:00,158539,3522,143,0.0222153539507629,2020
tYBOMw7Ob8E,Intermediate SQL Tutorial | Having Clause,2020-04-09 16:01:02+00:00,191828,4893,92,0.0255072252225952,2020
Twusw__OzA8,Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02 15:16:37+00:00,313139,7526,440,0.0240340551640006,2020
lYKkro6rKm0,Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26 16:51:37+00:00,273121,5225,116,0.0191307149578392,2020
9URM1_2S0ho,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19 15:40:58+00:00,563492,9381,477,0.0166479737068139,2020
qzZU6LAtIig,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11 13:44:54+00:00,126544,2587,261,0.0204434821089897,2020
